Time (abs), P1 (atm), SetP1 (atm), Rate (Hz) 
12:51.6,197.84,200,323.68
12:51.7,197.85,200,324.33
12:51.7,197.84,200,324.33
12:51.7,197.83,200,323.09
12:51.7,197.84,200,323.59
12:51.7,197.84,200,325.56
12:51.8,197.84,200,324.28
12:51.8,197.84,200,324.28
12:51.8,197.84,200,324.33
12:51.8,197.84,200,324.14
12:51.8,197.83,200,323.78
12:51.9,197.83,200,323.78
12:51.9,197.83,200,325.1
12:51.9,197.83,200,325.56
12:51.9,197.83,200,325.56
12:51.9,197.83,200,325.29
12:52.0,197.85,200,324.83
12:52.0,197.84,200,325.15
12:52.0,197.84,200,323.04
12:52.0,197.83,200,324.01
12:52.1,197.85,200,324.01
12:52.1,197.85,200,325.7
12:52.1,197.85,200,321.99
12:52.1,197.85,200,321.99
12:52.1,197.84,200,322.95
12:52.2,197.84,200,322.95
12:52.2,197.85,200,323.36
12:52.2,197.85,200,323.96
12:52.2,197.85,200,323.09
12:52.2,197.85,200,321.85
12:52.3,197.84,200,321.85
12:52.3,197.85,200,322.59
12:52.3,197.85,200,324.23
12:52.3,197.85,200,322.63
12:52.3,197.85,200,322.63
12:52.4,197.84,200,322.36
12:52.4,197.85,200,322.49
12:52.4,197.85,200,323.5
12:52.4,197.85,200,322.45
12:52.4,197.85,200,321.99
12:52.5,197.85,200,321.99
12:52.5,197.85,200,323.18
12:52.5,197.86,200,321.85
12:52.5,197.88,200,321.85
12:52.5,197.87,200,320.89
12:52.6,197.89,200,318.24
12:52.6,197.89,200,318.92
12:52.6,197.89,200,315.99
12:52.6,197.88,200,317.05
12:52.7,197.88,200,317.18
12:52.7,197.88,200,317.73
12:52.7,197.89,200,317.73
12:52.7,197.88,200,317.64
12:52.8,197.89,200,316.54
12:52.8,197.9,200,317.64
12:52.8,197.9,200,316.59
12:52.8,197.91,200,314.8
12:52.8,197.9,200,314.8
12:52.9,197.9,200,313.48
12:52.9,197.9,200,314.67
12:52.9,197.9,200,314.67
12:52.9,197.91,200,314.99
12:52.9,197.91,200,314.94
12:53.0,197.93,200,314.16
12:53.0,197.9,200,314.16
12:53.0,197.91,200,311.1
12:53.0,197.91,200,315.63
12:53.0,197.92,200,313.8
12:53.1,197.92,200,314.03
12:53.1,197.92,200,312.19
12:53.1,197.93,200,312.19
12:53.1,197.94,200,311.69
12:53.1,197.94,200,311.19
12:53.2,197.91,200,308.72
12:53.2,197.94,200,308.72
12:53.2,197.94,200,313.16
12:53.2,197.93,200,309.31
12:53.2,197.93,200,308.81
12:53.3,197.94,200,310.82
12:53.3,197.94,200,310.82
12:53.3,197.95,200,308.62
12:53.3,197.95,200,308.62
12:53.3,197.95,200,307.98
12:53.4,197.95,200,307.66
12:53.4,197.95,200,307.43
12:53.4,197.95,200,307.89
12:53.4,197.94,200,308.07
12:53.4,197.95,200,308.07
12:53.5,197.95,200,309.36
12:53.5,197.95,200,307.11
12:53.5,197.96,200,307.57
12:53.5,197.95,200,307.57
12:53.6,197.96,200,305.69
12:53.6,197.96,200,307.85
12:53.6,197.97,200,306.61
12:53.6,197.97,200,305.51
12:53.6,197.97,200,304.32
12:53.7,197.98,200,304.32
12:53.7,197.98,200,303.91
12:53.7,197.98,200,303.22
12:53.7,197.98,200,303.22
12:53.7,197.99,200,302.44
12:53.8,197.99,200,302.81
12:53.8,197.99,200,301.07
12:53.8,198,200,301.07
12:53.8,198.01,200,300.93
12:53.8,198.02,200,300.38
12:53.9,198.02,200,298.87
12:53.9,198.02,200,297.5
12:53.9,198.01,200,297.5
12:53.9,198.03,200,297.45
12:53.9,198.02,200,298.28
12:54.0,198.01,200,295.85
12:54.0,198.01,200,296.45
12:54.0,198.02,200,298.37
12:54.0,198.03,200,298.37
12:54.1,198.03,200,296.63
12:54.1,198.03,200,295.9
12:54.1,198.03,200,294.85
12:54.1,198.03,200,295.9
12:54.1,198.03,200,295.62
12:54.2,198.02,200,295.03
12:54.2,198.04,200,295.03
12:54.2,198.05,200,296.81
12:54.2,198.06,200,293.47
12:54.2,198.06,200,292.19
12:54.3,198.06,200,290.5
12:54.3,198.07,200,290.5
12:54.3,198.07,200,291.73
12:54.3,198.07,200,289.58
12:54.3,198.06,200,289.54
12:54.4,198.08,200,289.54
12:54.4,198.08,200,291.18
12:54.4,198.08,200,287.98
12:54.4,198.08,200,288.44
12:54.4,198.08,200,287.61
12:54.5,198.09,200,287.98
12:54.5,198.08,200,287.98
12:54.5,198.08,200,287.06
12:54.5,198.09,200,287.7
12:54.6,198.09,200,288.07
12:54.6,198.07,200,286.83
12:54.6,198.07,200,286.83
12:54.6,198.07,200,288.99
12:54.6,198.08,200,289.35
12:54.7,198.08,200,288.94
12:54.7,198.08,200,287.38
12:54.7,198.07,200,287.38
12:54.7,198.05,200,288.02
12:54.7,198.05,200,289.9
12:54.8,198.05,200,293.15
12:54.8,198.07,200,292.6
12:54.8,198.09,200,292.6
12:54.8,198.09,200,289.31
12:54.8,198.09,200,286.88
12:54.9,198.09,200,287.25
12:54.9,198.09,200,287.25
12:54.9,198.1,200,286.29
12:54.9,198.1,200,286.47
12:54.9,198.09,200,284.91
12:55.0,198.09,200,285.37
12:55.0,198.1,200,286.06
